district,region,status,regnum,orgname,prevorgname,ogrn,inn,kpp,legaladdress,actualaddress,mailingaddress,headname,phone,fax,email,applicationreq,decisionreq,infoinclusion,basis,actstatus,actrevision,decminenergo,chzone,boundaries,terms,services,annualvolume,amountelectricity,volumecitizens,requisitesorder,requisitesnotification,actloss,decisionloss,baseloss,orderexclude,notificationexclude,comments,revisionorder,orderschanges
Центральный федеральный округ,Московская область,ACTI,50/01,Закрытое акционерное общество «Балашихинская электросеть»,,1025000513603,5001003540,500101001,"143970, Московская область, г. Балашиха, микрорайон Салтыкова, ул. Гражданская, 5","143970, Московская область, г. Балашиха, микрорайон Салтыкова, ул. Гражданская, 5","143970, Московская область, г. Балашиха, микрорайон Салтыкова, ул. Гражданская, 5",Синяков Дмитрий Владимирович,,,,,,,п. 36 б) ПП № 530,"Распоряжение Топливно-энергетического комитета Московской области от 23.10.2006 г. № 19-РП, от 07.11.2006 г. № 23-РП, Распоряжение от 12.09.2011 № 40-р (в ред. распоряжений Топливно-энергетического комитета МО от 16.12.2011 № 50-Р, от 23.04.2012 № 12-Р), ",,,,"границы балансовой принадлежности электрических  сетей ЗАО «Электросетьэксплуатация», границы балансовой принадлежности электрических сетей АО «Мособлэнерго» городского   округа  Балашиха и городского округа Реутов,ограниченные точками поставки согласно п",,Купля-продажа,"1 229,11 млн. кВтч – за 2008 г.

1 251,983 млн. кВтч – за 2009 г.

1776,793 млн. кВтч – 2010 г.

1248,540 млн. кВтч – 2011 г.

1 322,4 млн. кВтч -   2012 г.

1 325,13 млн. кВтч – 2013 г.
(ФПД)
1 340,6 млн. кВт.ч - 2016 г.
1 348, 3 млн. кВт.ч.","333,937 млн.(?) кВтч – за 2008 г.

485,288 тыс. кВтч – за 2009 г.

514,201 млн. кВтч – 2010 г.

512,912 млн. кВтч – 2011 г.

526,6 млн.кВтч - 2012 г.

549,8 млн. кВтч – 2013 г.
(ФПД)
684,4 млн. кВт.ч. - 2016 г.
699,5 млн. кВт.ч. - 2017 г.","526,176 млн.(?) кВтч – за 2008 г.

721,097 тыс. кВтч – за 2009 г.

749,556 млн. кВтч – 2010 г.

613,885 млн. кВтч – 2011 г.

625,1 млн. кВтч- 2012 г.

656,9 млн. кВтч – 2013 г.
(ФПД)
580,35 млн. кВт.ч. - 2016 г.
585,6 млн. кВт.ч. - 2017 г.",Приказ № 130-э от 22.06.2007,от 02.07.2007 г. № ЕЯ-3679/14,,,,,,изменение границ по п.232 + изменение зоны по п.231 ПРОЕКТ ПРИКАЗА; изменение описания зоны по п.229?,"41-э от 02.03.2009
185-э от 20.05.2010
389-э от 16.08.2010
189-э от 26.03.2012
699-э от 29.10.2012
267-э от 14.03.2013
1354-э от 29.08.2014","377-э от 20.07.2011
179-э от 21.03.2012
660-э от 28.05.2013
244-э от 24.02.2014
286-э от 05.03.2014"
Центральный федеральный округ,Московская область,ACTI,50/02,Акционерное общество «Электросеть»,,1055005177325,5029087589,502901001,"141013, Московская область, Мытищинский район, г. Мытищи, ул. Угольная, 1","141013, Московская область, Мытищинский район, г. Мытищи, ул. Угольная, 1","141013, Московская область, Мытищинский район, г. Мытищи, ул. Угольная, 1",Шитов Александр Викторович,,,,,,,п. 36 б) ПП № 530,"Распоряжение Топливно-энергетического комитета Московской области от 23.10.2006 г. № 19-РП, от 07.11.2006 г. № 23-РП, от 12.09.2011 № 40-р (в ред. распоряжений Топливно-энергетического комитета МО от 16.12.2011 № 50-Р, от 23.04.2012 № 12-Р, распоряжение М", распоряжение от 12.10.2006 № 19-РП (ТЭК МО),,,"границы балансовой принадлежности электрических сетей АО «Мособлэнерго», ООО «ТРК-Мытищи» городского округа Мытищи Московской области, ограниченные    точками поставки согласно приложению № 4 к   распоряжению   Министерства   энергетики
Московской   обла",,Купля-продажа,"0 – 2009 г.

741,383 млн. кВтч –
2010 г.

754 ,777
Млн. кВтч -
2011 г.

786,094 млн. кВтч – 2012 г.

810,854 млн. кВтч – 2013 г.
856,9 млн. кВт.ч. - 2016 г.
842 631 886 кВт.ч. - 2017 г.","253,6183 млн. кВтч – 2009 г.

275,352 млн. кВтч – 2010 г.

275,206 млн.
кВтч-2011 г.

283,279 млн. кВтч – 2012 г.

276,094 млн. кВтч – 2013 г.
352,1 млн. кВт.ч. - 2016 г.
352 877 838 кВТ.Ч. - 2017 г.","350,7566 млн. кВтч – 2009 г.

374,696 млн. кВтч – 2010 г.

368,636 млн. кВтч-2011 г.

326,955 млн. кВтч – 2012 г.

318,402 млн. кВтч – 2013 г.
306,15 млн. кВт.ч. - 2016 г.
305 143 590 кВт.ч. - 2017 г.",Приказ № 130-э от 22.06.2007,от 02.07.2007 г. № ЕЯ-3680/14,,,,,,изменение зоны по п.231; изменение описания зоны по п.229?,"41-э от 02.03.2009
185-э от 20.05.2010
389-э от 16.08.2010
189-э от 26.03.2012
699-э от 29.10.2012
267-э от 14.03.2013
1354-э от 29.08.2014","179-э от 21.03.2012
1684-э от 24.12.2013
1322-э от 22.08.2014
924/16 от 11.07.2016
1578/16 от 09.11.2016"
Центральный федеральный округ,Московская область,ACTI,50/05,"АО ""Ивантеевская Энергосбытовая Компания"" ",,1055013629109,5016013300,501601001,"141281, Московская область, г. Ивантеевка, ул. Железнодорожная, 9","141281, Московская область, г. Ивантеевка, ул. Железнодорожная, 9","141281, Московская область, г. Ивантеевка, ул. Железнодорожная, 9",Кочуков Виктор Леонидович,8(496)536-17-37;8-964-538-35-69,8(496)536-17-37,ivenergo@itkm.ru,,,,п. 36 б) ПП № 530,"Распоряжение Топливно-энергетического комитета Московской области от 23.10.2006 г. № 19-РП, от 07.11.2006 г. № 23-РП. от 12.09.2011 № 40-Р (в ред. распоряжений Топливно-энергетического комитета МО от 16.12.2011 № 50-Р, от 23.04.2012 № 12-Р), Распоряжение ",,,,"Границы зоны деятельности гарантирующего поставщика МУП""Ивантеевские электросети"" являются границы балансовой принадлежности электрических сетей МУП ""Ивантеевская электросетевая транспортная компания"" городского округа Ивантеевка, ограниченные точками пос",с 20.08.0229,Купля-продажа,"182 538,067 тыс.кВт.ч
190,4 млн. кВт.ч. - 2016 г.
192,7 млн. кВт.ч. - 2017 г.","90463,072 тыс.кВт.ч
176,96 млн. кВт.ч. - 2016 г.
180,1 млн. кВт.ч. - 2017 г.","71628,757 тыс.кВт.ч
79,9 млн. кВт.ч. -2016 г.
82,9 млн. кВт.ч. - 2017 г.",Приказ № 130-э от 22.06.2007,от 02.07.2007 г. № ЕЯ-3683/14,,,,,,изменение описания зоны по п.229?,"41-э от 02.03.2009
185-э от 20.05.2010
389-э от 16.08.2010
189-э от 26.03.2012
699-э от 29.10.2012
267-э от 14.03.2013
1354-э от 29.08.2014","338-э от 29.06.2011
179-э от 21.03.2012
468-э от 24.03.2014
924/16 от 11.07.2016"
Центральный федеральный округ,Московская область,ACTI,50/06,Муниципальное унитарное предприятие Истринского района «Объединение «Истринские электросети»,,1025001820777,5017034511,501701001,"143500, Московская область, г. Истра, Южный проезд, д. 1","143500, Московская область, г. Истра, Южный проезд, д. 1","143500, Московская область, г. Истра, Южный проезд, д. 1",Горшков Сергей Владимирович,(495) 994-57-42,(495) 994-57-42,elset@list.ru,,,ACTI,п. 36 б) ПП № 530,"Распоряжение Топливно-энергетического комитета Московской области от 23.10.2006 г. № 19-РП, от 07.11.2006 г. № 23-РП, Распоряжение Минэнерго МО от 30.01.2015 № 05-Р",,,,"«границы балансовой принадлежности электрических сетей АО «Мособлэнерго» городского округа Истра и городского округа Красногорск, ограниченные следующими точками поставки:
ПС № 145 «Нахабино» 110/35/10/6 кВ, РУ-6 кВ, ф. 2;
ПС № 145 «Нахабино» 110/35/10/",,Купля-продажа,"349,365 млн. кВтч – 2009 г.
363,183 млн. кВтч – 2010 г.
361932 млн. кВтч- 2011 г.
365,473 млн. кВтч - 2012 г.
362,285 млн. кВтч – 2013 г.
360,347 млн. кВтч – 2014 г.
359891 тыс.кВт.ч. - 2016 г.
357 971 кВт.ч. - 2017 г.","144,032 млн. кВтч – 2009 г.
137,200 млн. кВтч – 2010 г.
142673 млн. кВтч – 2011 г.
137,299 млн. кВтч - 2012 г.
138,270 млн. кВтч – 2013 г.
170,783 млн. кВтч – 2014 г.
169752 тыс. кВт.ч. - 2016 г.
163 270 тыс. кВт.ч. - 2017 г.","213,597 млн. кВтч – 2009 г.
208,082 млн. кВтч – 2010 г.
205,899 млн. кВт-2011 г.
175,901 млн. кВтч - 2012 г.
172,360 млн. кВтч – 2013 г.
139,187 млн. кВтч – 2014 г.
137521 тыс. кВт.ч. - 2016 г.
131 847 тыс. кВт.ч. - 2017 г.",Приказ № 130-э от 22.06.2007,от 02.07.2007 г. № ЕЯ-3684/14,,,,,,изменение описания зоны по п.229?,"41-э от 02.03.2009
185-э от 20.05.2010
389-э от 16.08.2010
189-э от 26.03.2012
699-э от 29.10.2012
267-э от 14.03.2013
1354-э от 29.08.2014","130-э от 22.06.2007
376-э от 20.07.2011
179-э от 21.03.2012
660-э от 28.05.2013"
Центральный федеральный округ,Московская область,DELD,50/08,Публичное акционерное общество «Красногорскэнергосбыт»,,1025002869693,5024037961,502401001,"143400, Московская область, г. Красногорск, ул. Коммунальный квартал, 1","143400, Московская область, г. Красногорск, ул. Коммунальный квартал, 1","143400, Московская область, г. Красногорск, ул. Коммунальный квартал, 1",Котляренко Георгий Степанович,"8 (800) 707-79-40, +7 (498) 602-72-97",,info@kes-krasnogorsk.ru,,,,п. 36 б) ПП № 530,"Распоряжение Топливно-энергетического комитета Московской области от 23.10.2006 г. № 19-РП, от 07.11.2006 г. № 23-РП, Распоряжение от 12.09.2011 № 40-р (в ред. распоряжений Топливно-энергетического комитета МО от 16.12.2011 № 50-Р, от 23.04.2012 № 12-Р), ",,,,"границы балансовой принадлежности электрических сетей ОАО ""Красногорское предприятие электрических сетей"" Красногорского муниципального района, ограниченные точками поставки согласно приложению № 3 к распоряжению Минэнерго МО от 30.01.2015 № 05-Р...",,Купля-продажа,"0 – 2008 г.

466,324 млн. кВтч – 2009 г.

476,952 млн. кВтч – 2010 г.

470,315 млн. кВтч – 2011 г.

493,717 млн. кВтч – 2012 г.

477,07 млн. кВтч – 2013 г.
(ФПД)
455,3 млн. кВт.ч. - 2016 г.","186,755 млн. кВтч – 2008 г.

184,928 млн. кВтч – 2009 г.

187,571 млн. кВтч – 2010 г.

178,7 млн. кВтч – 2011 г.

185,353 млн. кВтч - 2012 г.

187,11 млн. кВтч – 2013 г.
(ФПД)
135,7 млн. кВт.ч. - 2016 г.","265,248 млн. кВтч – 2008 г.

278,378 млн. кВтч – 2009 г.

285,044 млн. кВтч – 2010 г.

269,807 млн. кВтч – 2011 г.

280,574 млн. кВтч - 2012 г.

214,546 млн. кВтч – 2013 г.
(ФПД)
107,9 млн. кВт.ч. - 2016 г.",Приказ № 130-э от 22.06.2007,от 02.07.2007 г. № ЕЯ-3686/14,,,,,,изменение описания зоны по п.229?,"41-э от 02.03.2009
185-э от 20.05.2010
389-э от 16.08.2010
189-э от 26.03.2012
699-э от 29.10.2012
267-э от 14.03.2013
1354-э от 29.08.2014","179-э от 21.03.2012
660-э от 28.05.2013
466-э от 24.03.2014"
Центральный федеральный округ,Московская область,ACTI,50/19,Общество с ограниченной ответственностью «РУСЭНЕРГОСБЫТ»,,1027706023058,7706284124,770401001,"119048, г. Москва, проспект Комсомольский, д. 42, стр. 3, этаж 4, пом. 7","119048, г. Москва, проспект Комсомольский, д. 42, стр. 3, этаж 4, пом. 7","119048, г. Москва, проспект Комсомольский, д. 42, стр. 3, этаж 4, пом. 7",Зиновьев Андрей Васильевич,"8(495) 926-69-79, 926-99-00",,info@ruses.ru,,,,п. 36 в) ПП № 530,"Распоряжение Топливно-энергетического комитета Московской области от 23.10.2006 г. № 19-РП, от 07.11.2006 г. № 23-РП, от 12.09.2011 № 40-р (в ред. распоряжений Топливно-энергетического комитета МО от 16.12.2011 № 50-Р, от 23.04.2012 № 12-Р)",,,,"в границах балансовой принадлежности электрических сетей, принадлежащих на праве собственности или ином законном основании ОАО «Российские железные дороги», включая потребителей на территории Московской области, энергопринимающие устройства которых технол",,Купля-продажа,"2 480,288 млн. кВтч – 2009 г.

2909,762 млн. кВтч - 2010 г.

2 476,061 млн. кВтч - 2011 г.

2 511,451 млн. кВтч - 2012 г.

2 544,642 млн. кВтч – 2013 г.
2 583 864 469 кВт.ч. - 2016 г.
2 601,4 млн. кВт.ч. - 2017 г.","1,377 млн. кВтч – 2009 г.

2,109 млн. кВтч – 2010 г.

1,453 млн. кВтч - 2011 г.

2,606 млн. кВтч - 2012 г.

1,791 млн. кВтч – 2013 г.
7 791 520 кВт.ч. - 2016 г.
7,5 млн. кВт.ч.- 2017 г.","1, 531 млн. кВтч – 2009 г.

8,889 млн. кВтч – 2010 г.

1,615 млн. кВтч - 2011 г.

4,230 млн. кВтч – 2012 г.

1,953 млн. кВтч – 2013 г.
7 606 142 кВт.ч. - 2016 г.
7,3 млн. кВт.ч. - 2017 г.",Приказ № 17-э от 12.02.2007,от 13.02.2007 г. № ЕЯ-756/14,,,,,,изменение описания зоны по п.229?               ,"24-э от 28.01.2010
98-э от 31.03.2010
169-э от 18.05.2010
324-э от 13.07.2010
601-э от 21.09.2011
645-э от 18.10.2011
768-э от 02.12.2011
646-э от 28.09.2012
193-э от 05.03.2013
546-э от 30.04.2013
998-э от 24.07.2013
1196-э от 23.09.2013
1246-э от 04.10.","84-э от 16.04.2009
247-э от 30.06.2009
179-э от 21.03.2012
1402-э от 15.07.2015
1052/16 от 26.07.2016"
Центральный федеральный округ,Московская область,ACTI,50/20,"Открытое акционерное общество ""Королевская электросеть СК"" ",Закрытое акционерное общество «Королевская электросеть»,1095018009019,5018141474,501801001,"141071, Московская область, г. Королев, ул. Грабина, д. 18","141071, Московская область, г. Королев, ул. Грабина, д. 18","141071, Московская область, г. Королев, ул. Грабина, д. 18",Федоров Яков Петрович,,,,,,,п. 42 ПП № 530,"Распоряжение Топливно-энергетического комитета Московской области от 25.12.2009 г. № 38-Р, от 26.08.2010 г. № 33-Р, от 12.09.2011 № 40-р (в ред. распоряжений Топливно-энергетического комитета МО от 16.12.2011 № 50-Р, от 23.04.2012 № 12-Р), Распоряжение Ми",,,,"Границы балансовой принадлежности электрических сетей ЗАО ""Королевская электросеть"", городского округа Королев Московской области, ограниченные точками поставки согласно приложению № 6 к распоряжению ТЭК Московской области от 12.09.2011 г. № 40-Р...",,Купля-продажа,"583,365 млн. кВтч за 2009 г.

597,263 млн. кВтч – 2010 г.

599,850 млн. кВтч – 2011 г.

606,083 млн. кВтч – 2012 г.

596,29 млн. кВтч – 2013 г.
(ФПД)
573,0 млн. кВт.ч. - 2016 г.
570,4 млн. кВт.ч. - 2017 г.","257,841 млн. кВтч за 2009 г.

261,854 млн. кВтч – 2010 г.

254,940 млн. кВтч – 2011 г.

264,331 млн. кВтч - 2012 г.

262,14 млн. кВтч – 2013 г.
(ФПД)
290,0 млн. кВт.ч. - 2016 г.
275,0 млн. кВт.ч. - 2017 г.","288,788 млн. кВтч за 2009 г.

352,632 млн. кВтч – 2010 г.

343,928 млн. кВтч – 2011 г.

335,252 млн. кВтч - 2012 г.

316,11 млн. кВтч – 2013 г.
(ФПД)
247,0 млн. кВт.ч. - 2016 г.
242,8 млн, кВт.ч. - 2017 г.",Приказ № 185-э от 20.05.2010,от 04.02.2011 г. № ЕП-805/14,,,,,,изменение описания зоны (изменение сетевой орг-ции на АО); изменение описания зоны по п.229?,34-э от 28.01.2011,"34-э от 28.01.2011
179-э от 21.03.2012
157-э от 10.02.2014
467-э от 24.03.2014"
Центральный федеральный округ,Московская область,DELD,50/21,Акционерное общество «Оборонэнергосбыт»,,1097746448315,7704731218,770040100,"19160, г. Москва, ул. Знаменка, д.19","109044, г. Москва, Воронцовский пер., д.2, офис 516",,Дрегваль Сергей Георгиевич,(495) 935-70-08,,info@oes.su,,,,П. 36 д) ПП № 530,"Распоряжение топливно-энергетического комитета Московской области от 12.09.2011 № 40-р (в ред. распоряжений Топливно-энергетического комитета МО от 16.12.2011 № 50-Р, от 23.04.2012 № 12-Р)",,,,"Границы балансовой принадлежности электрических сетей, принадлежащих на праве собственности или на ином законном основании организациям (сетевые организации, хозяйствующие субъекты), находящиеся в ведении Министерства обороны РФ и (или) образованным во ис",,Купля-продажа,"278,25 млн. кВтч - 2011 г.

474,038 млн. кВтч – 2012 г.

664,63 млн. кВтч – 2013 г.
727,159 млн. кВт.ч. - 2016 г.","1 273,24 млн. кВтч - 2011 г.

998,372 млн. кВтч – 2012 г.

917,89 млн. кВтч – 2013 г.
909,4 млн. кВт.ч. - 2016 г.","129,889 млн. кВтч - 2011 г.

149,854 млн. кВтч - 2012 г.

164,1 млн. кВтч – 2013 г.
105,5 млн. кВт.ч. - 2016 г.
",Приказ № 179-э от 21.03.2012,от 28.03.2012 г. № ЕП-2399/14,,,,,," изменение зоны по п.229, - в 50/18",,1399 от 23.12.2016
Центральный федеральный округ,Московская область,DELD,50/23,"ПАО ""Россети Московский регион""",,1057746555811,5036065113,997650001,"115114, г. Москва, 2-й Павелецкий пр., д. 3, стр. 2","115114, г. Москва, 2-й Павелецкий пр., д. 3, стр. 2","115114, г. Москва, 2-й Павелецкий пр., д. 3, стр. 2",Синютин Петр Алексеевич,8 800 220-0-220,+7 (499) 951-06-50 ,client@rossetimr.ru,,,,приказ Минэнерго России от 31 марта 2021 № 227,,,приказ Минэнерго России от 31 марта 2021 № 22,,"границы балансовой принадлежности электрических сетей ОАО «Красногорское предприятие электрических сетей» Красногорского муниципального района, ограниченные точками поставки согласно приложению № 3 к распоряжению Министерства энергетики Московской области",с 01.04.2021,Передача,,,,Приказ № 828/21 от 17.08.2021,,,,,,,,,
Центральный федеральный округ,Московская область,DELD,50/22,"ПАО ""Московская объединенная электросетевая компания""",Публичное акционерное общество «Красногорскэнергосбыт»,1057746555811,5036065113,997450001,"115114, г. Москва, 2-й Павелецкий пр., д. 3, стр. 2","115114, г. Москва, 2-й Павелецкий пр., д. 3, стр. 2","115114, г. Москва, 2-й Павелецкий пр., д. 3, стр. 2",Синютин Петр Алексеевич,+7 (499) 951-06-26,+7 (499) 951-06-50 ,client@moesk.ru,,приказ ФАС России от 30.06.2020 № 590/20,,пп 442,,,приказ Минэнерго России от 20 марта 2020 года № 211 и от 24 марта 2020 года № 236,,"границы балансовой принадлежности электрических сетей ОАО «Красногорское предприятие электрических сетей» Красногорского муниципального района, ограниченные точками поставки согласно приложению № 3 к распоряжению Минэнерго МО от 30.01.2015 № 05-Р...",,"Купля-продажа
Передача",,,,Приказ № 590/20 от 30.06.2020,,,,,,,,,
Центральный федеральный округ,Московская область,DELD,50/14,Муниципальное унитарное предприятие «Ильинское производственно-техническое объединение коммунального хозяйства»,,1025005122757,5040038049,504001001,"140120, Московская область, Раменский район, п. Ильинский, ул. Ленинская, 38","140120, Московская область, Раменский район, п. Ильинский, ул. Ленинская, 38","140120, Московская область, Раменский район, п. Ильинский, ул. Ленинская, 38",Демин Алексей Владимирович,"556-23-55, 49646- 2-27-11, 556-23-55",,,,,,,Границы балансовой принадлежности электрических сетей МУП «Ильинское ПТО КХ» Раменского муниципального района,,,,Границы балансовой принадлежности электрических сетей МУП «Ильинское ПТО КХ» Раменского муниципального района...,,"Купля-продажа
Передача","250,5 млн. кВтч",,"191,1 млн. кВтч",,,,,,Приказ № 130-э от 22.06.2007,от 19.08.2010 г. № НБ-6993/14,,,
Центральный федеральный округ,Московская область,DELD,50/17,Общество с ограниченной ответственностью «Химэнергосбыт»,,1045009556437,5047060220,504701001,"141400, Московская область, городской округ Химки, Юбилейный проспект, д. 77","141400, Московская область, городской округ Химки, Юбилейный проспект, д. 77","141400, Московская область, городской округ Химки, Юбилейный проспект, д. 77",Казимирский Александр Александрович,,,,,,,,"Границы балансовой принадлежности электрических сетей ОАО «Химкинская электросеть», городской округ Химки Московской области",,,,"Границы балансовой принадлежности электрических сетей ОАО «Химкинская электросеть», городской округ Химки Московской области...",,Купля-продажа,-,,"333,299 млн. кВтч",,,,,,Приказ № 41-э от 02.03.2009,от 22.04.2011 г. № НБ-3250/14,,,
Центральный федеральный округ,Московская область,DELD,50/03,Муниципальное унитарное предприятие «Электросеть» города Фрязино Московской области,,1025007070285,5052002110,505201001,"141195, Московская область, г. Фрязино, ул. Садовая, 18","141195, Московская область, г. Фрязино, ул. Садовая, 18","141195, Московская область, г. Фрязино, ул. Садовая, 18",Беляев Владимир Викторович,,,,,,,,Границы балансовой принадлежности электрических сетей МУП «Электросеть» г. Фрязино,,,,Границы балансовой принадлежности электрических сетей МУП «Электросеть» г. Фрязино...,,"Купля-продажа
Передача",-,,"84,2379 млн. кВтч – 2008 г.",,,,,,Приказ № 130-э от 22.06.2007,от 19.08.2010 г. № НБ-6995/14,,,
Центральный федеральный округ,Московская область,DELD,50/16,Муниципальное предприятие «Видновское производственно-техническое объединение городского хозяйства,,,,,"142701, Московская область, г. Видное, ул. Советская, д. 17 А","142701, Московская область, г. Видное, ул. Советская, д. 17 А","142701, Московская область, г. Видное, ул. Советская, д. 17 А",Коротков Владимир Васильевич,,,,,,,,"Границы балансовой принадлежности электрических сетей МП ""Видновское ПТО ГХ"" Ленинского муниципального района. ",,,,"Границы балансовой принадлежности электрических сетей МП ""Видновское ПТО ГХ"" Ленинского муниципального района.
...",,Купля-продажа,-,,-,,,,,,Приказ № 130-э от 22.06.2007,от 13.05.2008 г. № НБ-2479/14,,,
Центральный федеральный округ,Московская область,DELD,50/07,Закрытое акционерное общество «Королевская электросеть»,,1095018009019,5018054863,501801001,"141070, Московская область, г. Королев, ул. Гагарина, 4 а","141070, Московская область, г. Королев, ул. Гагарина, 4 а","141070, Московская область, г. Королев, ул. Гагарина, 4 а",Байбакова Наталья Алексеевна,,,,,,,,Границы балансовой принадлежности электрических сетей ЗАО «Королевская электросеть» городского округа Королев,,,,Границы балансовой принадлежности электрических сетей ЗАО «Королевская электросеть» городского округа Королев...,,"Купля-продажа
Передача",-,,"239,446 млн.кВтч – 2006 г.

224,463 млн. кВтч – 2007 г.

245,900 млн. кВтч – 2008 г.",,,,,,Приказ № 130-э от 22.06.2007,от 26.05.2010 г. № ЕП-4487/14,,,
Центральный федеральный округ,Московская область,DELD,50/09,Муниципальное предприятие Щелковского района «Щелковские Электросети»,,1035010204514,5050020820,505001001,"141100, Московская область, г. Щелково, ул. Советская, 23","141100, Московская область, г. Щелково, ул. Советская, 23","141100, Московская область, г. Щелково, ул. Советская, 23",Фирсов Михаил Иванович,,,,,,,,Границы балансовой принадлежности электрических сетей МП Щелковского района «Щелковские электросети»,,,,Границы балансовой принадлежности электрических сетей МП Щелковского района «Щелковские электросети»...,,"Купля-продажа
Передача",-,,"237,3 млн. кВтч",,,,,,Приказ № 130-э от 22.06.2007,от 19.08.2010 г. № НБ-6997/14,,,
Центральный федеральный округ,Московская область,DELD,50/11,Муниципальное унитарное предприятие «Троицкая электросеть»,,1045009350044,5046065560,775101001,"142190, Московская область, г. Троицк, ул. Лесная, 6","142190, Московская область, г. Троицк, ул. Лесная, 6","142190, Московская область, г. Троицк, ул. Лесная, 6",Воробьева Альбина Павловна,(4967)51-03-54,,,,,,,"Границы балансовой принадлежности электрических сетей МУП «Троицкая электросеть» городского округа Троицк, за исключением границ зоны деятельности ОАО «Оборонэнергосбыт»",,,,"Границы балансовой принадлежности электрических сетей МУП «Троицкая электросеть» городского округа Троицк, за исключением границ зоны деятельности ОАО «Оборонэнергосбыт»...",,"Купля-продажа
Передача","0 - 2009 г.

102,289 млн. кВтч – 2010 г.

101,426
Млн. кВтч
2011 г.

107,075 млн. кВтч – 2012 г.",,"74,273 млн. кВтч – 2009 г.

63,984 млн. кВтч – 2010 г.

63,998 млн. кВтч-2011 г.

65,514 млн. кВтч - 2012 г.",,,,,,Приказ № 130-э от 22.06.2007,от 31.10.2012 г. № ЕП-8487/14,,,
Центральный федеральный округ,Московская область,DELD,50/12,Открытое акционерное общество «Химкинская электросеть»,,1055009337338,5047068557,504701001,"141400, Московская область, г. Химки, Юбилейный проспект, д. 77","141400, Московская область, г. Химки, Юбилейный проспект, д. 77","141400, Московская область, г. Химки, Юбилейный проспект, д. 77",Суслов Владимир Иванович,8 (495) 571-02-26,,himpower@yandex.ru,,,,,"Границы балансовой принадлежности электрических сетей ОАО ""Химкинская электросеть"" городского округа Химки. ",,,,"Границы балансовой принадлежности электрических сетей ОАО ""Химкинская электросеть"" городского округа Химки.
...",,"Купля-продажа
Передача",-,,"263,403 млн. кВтч – 2006 г.",,,,,,Приказ № 130-э от 22.06.2007,от 04.03.2009 г. № НБ-1211/14,,,
Центральный федеральный округ,Московская область,DELD,50/04,Муниципальное унитарное предприятие городского округа Домодедово «Электросеть»,,1035002000571,5009022706,500901001,"142001, Московская область, г. Домодедово, ул. Дачная, 2","142001, Московская область, г. Домодедово, ул. Дачная, 2","142001, Московская область, г. Домодедово, ул. Дачная, 2",Волков Николай Викторович,"(496)7943032, (496)7975499",,info@elsetdom.ru,,,,,Границы балансовой принадлежности электрических сетей МУП городского округа Домодедово «Электросеть»,,,,Границы балансовой принадлежности электрических сетей МУП городского округа Домодедово «Электросеть»...,,"Купля-продажа
Передача",-,,"179,816 млн. кВтч – 2008 г.",,,,,,Приказ № 130-э от 22.06.2007,от 19.08.2010 г. № НБ-6998/14,,,
Центральный федеральный округ,Московская область,DELD,50/15,Муниципальное унитарное предприятие Раменское производственно-техническое объединение городского хозяйства,,,5040007763,504001001,"140100, Московская область, г. Раменское, ул. Махова, 6","140100, Московская область, г. Раменское, ул. Махова, 6","140100, Московская область, г. Раменское, ул. Махова, 6",Шахшаев Юнус Шахшаевич," (49646) 775-22, ф.7-74-90, 773-19",,,,,,,Границы балансовой принадлежности электрических сетей МУП «Раменское ПТО ГХ» Раменского муниципального района,,,,Границы балансовой принадлежности электрических сетей МУП «Раменское ПТО ГХ» Раменского муниципального района...,,"Купля-продажа
Передача",-,,"193,6 млн. кВтч",,,,,,Приказ № 130-э от 22.06.2007,от 19.08.2010 г. № НБ-6991/14,,,
Центральный федеральный округ,Московская область,DELD,50/10,Закрытое акционерное общество «Лобненская электросеть»,,1025003078374,5025002827,502501001,"141730, Московская область, г. Лобня, ул. Чехова, 31 ","141730, Московская область, г. Лобня, ул. Чехова, 31 ","141730, Московская область, г. Лобня, ул. Чехова, 31 ",Никишин Виктор Михайлович,,,,,,,,Границы балансовой принадлежности электрических сетей ЗАО «Лобненская электросеть» городского округа Лобня,,,,Границы балансовой принадлежности электрических сетей ЗАО «Лобненская электросеть» городского округа Лобня...,,"Купля-продажа
Передача",-,,"91,8429 млн. кВтч
(за 10 мес. 2009)",,,,,,Приказ № 130-э от 22.06.2007,от 19.08.2010 г. № НБ-6994/14,,,
Северо-Западный федеральный округ,Мурманская область,DELD,51/05,Открытое акционерное общество «Единая энергосбытовая компания»,,1055100008589,5101360337,510101001,"184209, Мурманская область, г. Апатиты, ул. Нечаева, д. 5, помещение 74","184250, Мурманская область, г. Кировск, пр. Ленина, д.12 В","184250, Мурманская область, г. Кировск, пр. Ленина, д.12 В",Матюшенко Алексей Борисович,,,,,,,, Постановление Комитета по тарифному регулированию Мурманской области от 23.10.2006 г. № 28/1,,,,"В границах балансовой принадлежности электрических сетей ОАО «Апатит» и МУП города Кировска «Кировская горэлектросеть», на праве собственности или на ином законном основании к которым технологически присоединены энергопринимающие устройства потребителей М",,Купля-продажа,-,,51 млн. кВтч,,,,,,Приказ № 103-э от 21.05.2007,от 27.05.2008 № НБ-2794/14,,,
